provider_claim_id	provider_id	known_at_period	shortfall_allocation_status	shortfall_allocation_lower	shortfall_allocation_upper	coverage_status	coverage_lower	coverage_upper	deductible_status	deductible_lower_million	deductible_upper_million	maximum_cash_status	maximum_cash_lower_million	maximum_cash_upper_million	settlement_lag_status	settlement_lag_lower_periods	settlement_lag_upper_periods	covers_principal_due	covers_interest_due	payment_right_evidenced	provider_identity_evidenced	coverage_and_priority_evidenced	obligation_priority	input_status	source_record_id
finnvera-guarantee-terms-UNKNOWN	finnvera-oyj	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	false	true	false	UNKNOWN	observed	SF-CD-2024-09-05
ekf-guarantee-terms-UNKNOWN	ekf-denmark-export-credit-agency	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	unknown	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	false	true	false	UNKNOWN	observed	SF-CD-2024-09-05
